Q980253;"El Poble-sec";283094.66;82.2
Q1758503;El Raval;353573.79;71.2
Q1627690;Les Roquetes;181333.33;49.7
Q17154;Gothic Quarter;671768.12;106.1
Q3321657;Sant Gervasi – la Bonanova;1855065.42;184.6
Q3045547;El Guinardó;307100.00;79.1
Q3320699;La Salut;426650.00;109.9
Q3297056;La Maternitat i Sant Ramon;396109.72;114.2
Q3297875;El Baix Guinardó;315222.22;92.0
Q3751386;Canyelles;198000.00;52.2
Q3310216;"Vallvidrera, el Tibidabo i les Planes";1274970.37;144.1
Q3298510;Sant Genís dels Agudells;312172.41;84.1
Q2442135;"Sant Pere, Santa Caterina i la Ribera";689844.07;99.4
Q2562684;Pedralbes;2178923.08;248.8
Q2741611;Vila de Gràcia;600354.84;104.4
Q2057331;Vallcarca i els Penitents;488086.96;112.5
Q3596095;La Marina del Prat Vermell;329278.57;40.0
Q3320705;La Teixonera;233146.15;73.7
Q3596096;Sants-Badal;258504.73;81.0
Q990510;Sant Andreu de Palomar;368950.00;77.7
Q6746220;Trinitat Vella;134750.00;47.1
Q3297889;La Font d'en Fargues;333000.00;92.5
Q2994821;Camp d'en Grassot i Gràcia Nova;517892.86;105.7
Q3750551;Verdun;157250.00;51.3
Q3321797;Can Baró;426625.00;83.3
Q2476184;Sants;319298.84;99.0
Q3753110;La Bordeta;267213.60;79.0
Q3750558;Porta;180650.00;64.4
Q3319498;El Carmel;210209.09;54.2
Q3750926;La Prosperitat;167150.00;56.0
Q3320716;Can Peguera;243333.33;51.5
Q15225338;"Horta, Barcelona";298178.57;79.8
Q3750929;Hostafrancs;286960.32;99.0
Q2470217;Sagrada Família;399000.00;101.8
Q3751076;La Marina de Port;239466.52;69.3
Q1026658;La Nova Esquerra de l'Eixample;460978.65;110.2
Q1904302;Dreta de l'Eixample;1119624.43;175.9
Q3297896;Les Tres Torres;1330750.00;215.8
Q3321805;El Putxet i el Farró;618150.94;144.6
Q720994;Sant Antoni;441713.71;104.2
Q3294602;El Camp de l'Arpa del Clot;320000.00;81.7
Q3298492;Vall d'Hebron;268333.33;95.8
Q3750932;La Trinitat Nova;159000.00;48.2
Q3813816;Navas;309000.00;81.6
Q3320806;Vilapicina i la Torre Llobeta;298000.00;63.8
Q3320722;Ciutat Meridiana;117250.00;38.6
Q3389521;Sant Gervasi – Galvany;1040701.22;192.1
Q3296693;Les Corts;501906.85;120.0
Q3813818;El Congrés i els Indians;320000.00;75.1
Q1932090;el Coll;265000.00;87.0
Q3291762;L'Antiga Esquerra de l'Eixample;721365.42;137.2
Q3043699;Sarrià;1837871.79;193.6
Q3750859;La Font de la Guatlla;414237.59;82.9
Q2107762;Fort Pienc;420000.00;106.5
