el Raval,Q1758503
el Gòtic,Q17154
la Barceloneta,Q377070
"Sant Pere, Santa Caterina i la Ribera",Q2442135
el Fort Pienc,Q2107762
la Sagrada Família,Q2470217
la Dreta de l'Eixample,Q1904302
l'Antiga Esquerra de l'Eixample,Q3291762
la Nova Esquerra de l'Eixample,Q1026658
Sant Antoni,Q720994
el Poble Sec,Q576375
la Marina del Prat Vermell,Q3596095
la Marina de Port,Q3751076
la Font de la Guatlla,Q3750859
Hostafrancs,Q3750929
la Bordeta,Q3753110
Sants - Badal,Q3596096
Sants,Q2476184
les Corts,Q959944
la Maternitat i Sant Ramon,Q3297056
Pedralbes,Q2562684
"Vallvidrera, el Tibidabo i les Planes",Q3310216
Sarrià,Q1765582
les Tres Torres,Q3297896
Sant Gervasi - la Bonanova,Q3321657
Sant Gervasi - Galvany,Q3389521
el Putget i Farró,Q3321805
Vallcarca i els Penitents,Q2057331
el Coll,Q1932090
la Salut,Q3320699
Vila de Gràcia,Q2741611
el Camp d'en Grassot i Gràcia Nova,Q2994821
el Baix Guinardó,Q3297875
Can Baró,Q3321797
el Guinardó,Q3045547
la Font d'en Fargues,Q3297889
el Carmel,Q3319498
la Teixonera,Q3320705
Sant Genís dels Agudells,Q3298510
Montbau,Q3298502
la Vall d'Hebron,Q3298492
la Clota,Q3320857
Horta,Q15225338
Vilapicina i la Torre Llobeta,Q3320806
Porta,Q3750558
el Turó de la Peira,Q524311
Can Peguera,Q3320716
la Guineueta,Q2736697
Canyelles,Q3751386
les Roquetes,Q1627690
Verdun,Q3750551
la Prosperitat,Q3750926
la Trinitat Nova,Q3750932
Torre Baró,Q3750940
Ciutat Meridiana,Q3320722
Vallbona,Q3751072
la Trinitat Vella,Q6746220
Baró de Viver,Q1425291
el Bon Pastor,Q3319496
Sant Andreu,Q990510
la Sagrera,Q3773462
el Congrés i els Indians,Q3813818
Navas,Q3813816
Camp de l'Arpa del Clot,Q3294602
el Clot,Q2979686
el Parc i la Llacuna del Poblenou,Q3294440
la Vila Olímpica del Poblenou,Q1167101
el Poblenou,Q1404773
Diagonal Mar i el Front Marítim del Poblenou,Q2736444
el Besòs i el Maresme,Q2390761
Provençals del Poblenou,Q6273541
Sant Martí de Provençals,Q3773169
la Verneda i la Pau,Q542473
